"Service Request Number","Service Request Type","City Department","Created Date","Method Received","Status","Location","X_Value","Y_Value","Latitude","Longitude","Latitude/Longitude","ZIP Code","Council District","Police Precinct","Community Reporting Area"
"24-00084060","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","04/05/2024 09:15:30 AM","Citizen Web Intake App","Closed","9201 15TH AVE NW, SEATTLE, WA 98117","1260155.07290324","257968.808775188","47.69675145","-122.37760191","POINT (-122.37760191 47.69675145)","98117","5","NORTH",
"24-00084085","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","04/05/2024 09:30:41 AM","Citizen Web Intake App","Closed","1020 NE 82ND ST, SEATTLE, WA 98115","1275090.57061039","254983.196224447","47.68937342","-122.31672947","POINT (-122.31672947 47.68937342)","98115","5","NORTH",
"24-00090268","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","04/12/2024 01:28:28 PM","Citizen Web Intake App","Closed","5562 AURORA AVE N, SEATTLE, WA 98103","1267453.19328797","247774.950302635","47.66920818","-122.34715723","POINT (-122.34715723 47.66920818)","98103","6","NORTH",
"24-00084814","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","04/05/2024 05:17:12 PM","Find It Fix It Apps","Closed","923 NW 54TH ST, SEATTLE, WA 98107","1261887.50824486","247113.737231439","47.66709347","-122.36968829","POINT (-122.36968829 47.66709347)","98107","6","NORTH",
"24-00084851","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","04/05/2024 05:42:21 PM","Citizen Web Intake App","Closed","5229 38TH AVE SW, SEATTLE, WA 98126","1258341.54003183","206220.780493602","47.55481361","-122.38073974","POINT (-122.38073974 47.55481361)","98126","1","SOUTHWEST",
"24-00084994","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","04/06/2024 08:04:58 AM","Find It Fix It Apps","Closed","2091 NE 68TH ST, SEATTLE, WA 98115","1277814.72370673","250614.004393983","47.67754096","-122.30533153","POINT (-122.30533153 47.67754096)","98115","4","NORTH",
"24-00085041","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","04/06/2024 09:22:31 AM","Find It Fix It Apps","Closed","9053 1ST AVE NW, SEATTLE, WA 98117","1264883.21695172","257554.804061778","47.69587516","-122.35837234","POINT (-122.35837234 47.69587516)","98117","5","NORTH",
"24-00086153","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","04/08/2024 09:45:56 AM","Find It Fix It Apps","Closed","9034 2ND AVE NW, SEATTLE, WA 98117","1264779.27198628","257298.126428433","47.69516597","-122.35877369","POINT (-122.35877369 47.69516597)","98117","5","NORTH",
"24-00081654","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","04/02/2024 04:41:01 PM","Citizen Web Intake App","Closed","3245 NE 105TH ST, SEATTLE, WA 98125","1280887.71162506","260465.276586637","47.70470364","-122.29361838","POINT (-122.29361838 47.70470364)","98125","5","NORTH",
"24-00090625","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","04/12/2024 06:08:37 PM","Find It Fix It Apps","Closed","148 NW 90TH ST, SEATTLE, WA 98117","1264797.26152762","256986.477963124","47.69431274","-122.35867557","POINT (-122.35867557 47.69431274)","98117","5","NORTH",
"24-00093215","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","04/16/2024 09:46:52 AM","Find It Fix It Apps","Closed","9047 1ST AVE NW, SEATTLE, WA 98117","1264930.12168523","257107.566643588","47.69465185","-122.35814593","POINT (-122.35814593 47.69465185)","98117","5","NORTH",
"24-00085077","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","04/06/2024 10:03:50 AM","Find It Fix It Apps","Closed","4267 NE 73RD ST, SEATTLE, WA 98115","1283929.53719775","251895.412336781","47.68137122","-122.28061191","POINT (-122.28061191 47.68137122)","98115","4","NORTH",
"24-00085211","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","04/06/2024 12:58:10 PM","Citizen Web Intake App","Closed","3800 SW FINDLAY ST, SEATTLE, WA 98126","1258460.53120313","205401.000885446","47.5525732","-122.38019123","POINT (-122.38019123 47.5525732)","98126","1","SOUTHWEST",
"24-00090664","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","04/12/2024 07:17:09 PM","Find It Fix It Apps","Closed","101 NW CANAL ST, SEATTLE, WA 98107","1264684.97483043","241541.909865127","47.65197391","-122.35788911","POINT (-122.35788911 47.65197391)","98107","6","NORTH",
"24-00091091","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","04/13/2024 03:50:29 PM","Find It Fix It Apps","Closed","2085 NE 68TH ST, SEATTLE, WA 98115","1277794.70500647","250614.656336415","47.6775417","-122.30541283","POINT (-122.30541283 47.6775417)","98115","4","NORTH",
"24-00095144","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","04/17/2024 05:33:26 PM","Find It Fix It Apps","Closed","5334 BALLARD AVE NW, SEATTLE, WA 98107","1258361.59404056","247271.476182392","47.66733196","-122.38400814","POINT (-122.38400814 47.66733196)","98107","6","NORTH",
"24-00087433","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","04/09/2024 01:44:43 PM","Find It Fix It Apps","Closed","602 N 87TH ST, SEATTLE, WA 98103","1266715.73235962","256519.998973607","47.69313812","-122.35084958","POINT (-122.35084958 47.69313812)","98103","5","NORTH",
"24-00094009","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","04/16/2024 05:51:32 PM","Find It Fix It Apps","Closed","335 THOMAS ST, SEATTLE, WA 98109","1266212.3151879","230012.47801319","47.62045504","-122.35077111","POINT (-122.35077111 47.62045504)","98109","7","WEST",
"24-00094023","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","04/16/2024 06:02:39 PM","Find It Fix It Apps","Closed","1053 NE 88TH ST, SEATTLE, WA 98115","1275435.36733627","255881.071720324","47.69185269","-122.31539998","POINT (-122.31539998 47.69185269)","98115","5","NORTH",
"24-00100504","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","04/23/2024 07:05:06 PM","Find It Fix It Apps","Closed","2500 SW ALASKA ST, SEATTLE, WA 98106","1262655.28421401","208770.360077618","47.56203832","-122.36347896","POINT (-122.36347896 47.56203832)","98106","1","SOUTHWEST",
"24-00094299","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","04/17/2024 08:46:22 AM","Find It Fix It Apps","Closed","4529 26TH AVE SW, SEATTLE, WA 98106","1262097.53808056","208774.986405967","47.56202057","-122.36573793","POINT (-122.36573793 47.56202057)","98106","1","SOUTHWEST",
"24-00094342","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","04/17/2024 09:19:40 AM","Find It Fix It Apps","Closed","4700 25TH AVE SW, SEATTLE, WA 98106","1262556.65101519","208379.271191688","47.56096098","-122.36384688","POINT (-122.36384688 47.56096098)","98106","1","SOUTHWEST",
"24-00089406","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","04/11/2024 02:34:04 PM","Find It Fix It Apps","Closed","1187 15TH AVE E, SEATTLE, WA 98112","1275682.87488516","233446.195299078","47.63037224","-122.31264421","POINT (-122.31264421 47.63037224)","98112","3","EAST",
"24-00095178","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","04/17/2024 06:07:39 PM","Find It Fix It Apps","Closed","4900 MERIDIAN AVE N, SEATTLE, WA 98103","1271047.20674762","245788.4795773","47.6639562","-122.33241613","POINT (-122.33241613 47.6639562)","98103","4","NORTH",
"24-00092427","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","04/15/2024 01:35:38 PM","Find It Fix It Apps","Closed","1212 FEDERAL AVE E, SEATTLE, WA 98102","1274176.03182147","233678.938978467","47.63093062","-122.31877247","POINT (-122.31877247 47.63093062)","98102","3","EAST",
"24-00092665","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","04/15/2024 04:09:50 PM","Find It Fix It Apps","Closed","4087 S JUNEAU ST, SEATTLE, WA 98118","1282736.52138537","203853.273152141","47.54962602","-122.28178361","POINT (-122.28178361 47.54962602)","98118","2","SOUTH",
"24-00100694","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","04/24/2024 08:09:05 AM","Find It Fix It Apps","Closed","2806 3RD AVE W, SEATTLE, WA 98119","1264185.43623621","239174.211553295","47.64545703","-122.35972496","POINT (-122.35972496 47.64545703)","98119","7","WEST",
"24-00092768","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","04/15/2024 05:29:27 PM","Find It Fix It Apps","Closed","300 19TH AVE E, SEATTLE, WA 98112","1277150.93724895","229983.309651272","47.62095772","-122.30642259","POINT (-122.30642259 47.62095772)","98112","3","EAST",
"24-00092772","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","04/15/2024 05:30:31 PM","Find It Fix It Apps","Closed","235 21ST AVE E, SEATTLE, WA 98112","1277481.67717099","229963.602161225","47.62092105","-122.3050802","POINT (-122.3050802 47.62092105)","98112","3","EAST",
"24-00094559","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","04/17/2024 11:06:26 AM","Find It Fix It Apps","Closed","8501 14TH AVE NE, SEATTLE, WA 98115","1275853.46036219","255346.00888208","47.69040815","-122.31366088","POINT (-122.31366088 47.69040815)","98115","5","NORTH",
"24-00098948","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","04/22/2024 12:24:07 PM","Find It Fix It Apps","Closed","9034 2ND AVE NW, SEATTLE, WA 98117","1264779.27198628","257298.126428433","47.69516597","-122.35877369","POINT (-122.35877369 47.69516597)","98117","5","NORTH",
"24-00095692","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","04/18/2024 11:55:17 AM","Citizen Web Intake App","Closed","1000 E PINE ST, SEATTLE, WA 98122","1273909.04069792","228619.302697663","47.61704814","-122.31945884","POINT (-122.31945884 47.61704814)","98122","3","EAST",
"24-00095779","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","04/18/2024 12:49:44 PM","Citizen Web Intake App","Closed","4301 8TH AVE NW, SEATTLE, WA 98107","1262603.00092835","244389.1702732","47.65966471","-122.36656477","POINT (-122.36656477 47.65966471)","98107","6","NORTH",
"24-00101075","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","04/24/2024 11:51:45 AM","Find It Fix It Apps","Closed","5307 GREEN LAKE WAY N, SEATTLE, WA 98103","1269045.5811047","247111.063870215","47.66747418","-122.34064276","POINT (-122.34064276 47.66747418)","98103","6","NORTH",
"24-00095826","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","04/18/2024 01:27:59 PM","Citizen Web Intake App","Closed","2621 NW 60TH ST BALLARD PLAYGROUND, SEATTLE, WA 98107","1256653.21135087","249078.887223782","47.67219135","-122.39108866","POINT (-122.39108866 47.67219135)","98107","6","NORTH",
"24-00095845","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","04/18/2024 01:42:06 PM","Citizen Web Intake App","Closed","6020 28TH AVE NW, SEATTLE, WA 98107","1256365.58716764","249359.894116066","47.67294561","-122.39227895","POINT (-122.39227895 47.67294561)","98107","6","NORTH",
"24-00092964","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","04/16/2024 04:23:23 AM","Find It Fix It Apps","Canceled","14101 AURORA AVE N, SEATTLE, WA 98133","1267994.87415269","270353.663025177","47.73112452","-122.34676121","POINT (-122.34676121 47.73112452)","98133","5","NORTH",
"24-00102559","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","04/25/2024 06:34:50 PM","Find It Fix It Apps","Closed","2102 NE 68TH ST, SEATTLE, WA 98115","1277907.30089892","250692.38762739","47.67776066","-122.30496189","POINT (-122.30496189 47.67776066)","98115","4","NORTH",
"24-00102558","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","04/25/2024 06:31:47 PM","Find It Fix It Apps","Closed","2103 NE 68TH ST, SEATTLE, WA 98115","1277854.46026323","250612.834650305","47.67753984","-122.30517017","POINT (-122.30517017 47.67753984)","98115","4","NORTH",
"24-00101596","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","04/24/2024 05:38:24 PM","Find It Fix It Apps","Closed","300 19TH AVE E, SEATTLE, WA 98112","1277150.93724895","229983.309651272","47.62095772","-122.30642259","POINT (-122.30642259 47.62095772)","98112","3","EAST",
"24-00102661","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","04/26/2024 06:57:28 AM","Citizen Web Intake App","Closed","1218 NE 82ND ST, SEATTLE, WA 98115","1275592.17615814","254973.215574556","47.68937255","-122.31469244","POINT (-122.31469244 47.68937255)","98115","5","NORTH",
"24-00099369","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","04/22/2024 05:26:22 PM","Find It Fix It Apps","Closed","300 19TH AVE E, SEATTLE, WA 98112","1277150.93724895","229983.309651272","47.62095772","-122.30642259","POINT (-122.30642259 47.62095772)","98112","3","EAST",
"24-00099375","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","04/22/2024 05:28:23 PM","Find It Fix It Apps","Closed","235 21ST AVE E, SEATTLE, WA 98112","1277481.67717099","229963.602161225","47.62092105","-122.3050802","POINT (-122.3050802 47.62092105)","98112","3","EAST",
"24-00099391","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","04/22/2024 05:45:31 PM","Find It Fix It Apps","Closed","8501 14TH AVE NE, SEATTLE, WA 98115","1275853.46036219","255346.00888208","47.69040815","-122.31366088","POINT (-122.31366088 47.69040815)","98115","5","NORTH",
"24-00099430","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","04/22/2024 06:34:56 PM","Find It Fix It Apps","Closed","2075 NE 68TH ST, SEATTLE, WA 98115","1277761.34050605","250615.742907136","47.67754293","-122.30554833","POINT (-122.30554833 47.67754293)","98115","4","NORTH",
"24-00096265","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","04/18/2024 09:17:34 PM","Citizen Web Intake App","Closed","1635 11TH AVE, SEATTLE, WA 98122","1274009.38369286","228344.3446841","47.61629979","-122.31903055","POINT (-122.31903055 47.61629979)","98122","3","EAST",
"24-00096353","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","04/19/2024 07:46:21 AM","Find It Fix It Apps","Closed","4314 5TH AVE NW, SEATTLE, WA 98107","1263571.14524526","244293.818363116","47.65945616","-122.36262922","POINT (-122.36262922 47.65945616)","98107","6","NORTH",
"24-00111462","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","05/05/2024 07:22:07 PM","Citizen Web Intake App","Closed","801 NW 54TH ST, SEATTLE, WA 98107","1262675.57379465","247295.762886406","47.66763547","-122.36650529","POINT (-122.36650529 47.66763547)","98107","6","NORTH",
"24-00096756","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","04/19/2024 12:28:30 PM","Citizen Web Intake App","Closed","1463 DISCOVERY PARK BLVD, SEATTLE, WA 98199","1246500.18636935","245119.184678916","47.6607674","-122.43195582","POINT (-122.43195582 47.6607674)","98199","6","WEST",
"24-00096944","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","04/19/2024 03:02:42 PM","Find It Fix It Apps","Closed","6860 E GREEN LAKE WAY N, SEATTLE, WA 98115","1272485.83072378","250998.406177244","47.67831312","-122.32698929","POINT (-122.32698929 47.67831312)","98115","6","NORTH",
"24-00106295","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","04/30/2024 11:47:50 AM","Citizen Web Intake App","Closed","923 NW 54TH ST, SEATTLE, WA 98107","1261887.50824486","247113.737231439","47.66709347","-122.36968829","POINT (-122.36968829 47.66709347)","98107","6","NORTH",
"24-00106460","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","04/30/2024 01:32:36 PM","Citizen Web Intake App","Closed","923 NW 54TH ST, SEATTLE, WA 98107","1261887.50824486","247113.737231439","47.66709347","-122.36968829","POINT (-122.36968829 47.66709347)","98107","6","NORTH",
"24-00103352","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","04/26/2024 03:29:25 PM","Find It Fix It Apps","Closed","10079 RAINIER AVE S, SEATTLE, WA 98178","1291059.78207879","189600.487866664","47.51098318","-122.24702552","POINT (-122.24702552 47.51098318)","98178","2","SOUTH",
"24-00103564","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","04/26/2024 05:56:29 PM","Find It Fix It Apps","Closed","1400 E PROSPECT ST, SEATTLE, WA 98112","1275299.2493272","233426.459084577","47.63029792","-122.31419822","POINT (-122.31419822 47.63029792)","98112","3","EAST",
"24-00103580","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","04/26/2024 06:23:41 PM","Find It Fix It Apps","Closed","1683 N 43RD ST, SEATTLE, WA 98103","1269733.66514295","244034.146786984","47.65907738","-122.33760661","POINT (-122.33760661 47.65907738)","98103","4","NORTH",
"24-00099883","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","04/23/2024 10:56:21 AM","Citizen Web Intake App","Closed","1590 NW 90TH ST, SEATTLE, WA 98117","1259404.78548873","257314.976659184","47.69491803","-122.38059468","POINT (-122.38059468 47.69491803)","98117","5","NORTH",
"24-00111704","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","05/06/2024 09:20:39 AM","Citizen Web Intake App","Closed","9201 15TH AVE NW, SEATTLE, WA 98117","1260155.07290324","257968.808775188","47.69675145","-122.37760191","POINT (-122.37760191 47.69675145)","98117","5","NORTH",
"24-00111775","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","05/06/2024 10:03:00 AM","Find It Fix It Apps","Closed","1834 3RD AVE W, SEATTLE, WA 98119","1264357.3763738","235364.951455617","47.63502539","-122.35872128","POINT (-122.35872128 47.63502539)","98119","7","WEST",
"24-00106807","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","04/30/2024 05:42:30 PM","Find It Fix It Apps","Closed","8501 14TH AVE NE, SEATTLE, WA 98115","1275853.46036219","255346.00888208","47.69040815","-122.31366088","POINT (-122.31366088 47.69040815)","98115","5","NORTH",
"24-00112004","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","05/06/2024 12:28:11 PM","Find It Fix It Apps","Closed","832 33RD AVE, SEATTLE, WA 98122","1281081.71141709","226009.0215518","47.61026935","-122.29018157","POINT (-122.29018157 47.61026935)","98122","3","EAST",
"24-00106862","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","04/30/2024 06:58:11 PM","Find It Fix It Apps","Closed","4590 26TH AVE SW, SEATTLE, WA 98106","1262191.27176893","208796.863204854","47.56208565","-122.36536012","POINT (-122.36536012 47.56208565)","98106","1","SOUTHWEST",
"24-00110518","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","05/04/2024 09:56:54 AM","Find It Fix It Apps","Closed","1043 LAKE WASHINGTON BLVD E, SEATTLE, WA 98112","1280360.81649266","232422.042886591","47.62780997","-122.29359689","POINT (-122.29359689 47.62780997)","98112","3","EAST",
"24-00112450","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","05/06/2024 05:22:19 PM","Find It Fix It Apps","Closed","235 21ST AVE E, SEATTLE, WA 98112","1277481.67717099","229963.602161225","47.62092105","-122.3050802","POINT (-122.3050802 47.62092105)","98112","3","EAST",
"24-00108775","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","05/02/2024 01:58:45 PM","Citizen Web Intake App","Closed","3801 BEACON AVE S, SEATTLE, WA 98108","1276382.21899215","211326.251469003","47.5697786","-122.30808941","POINT (-122.30808941 47.5697786)","98108","2","SOUTH",
"24-00112640","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","05/06/2024 09:08:04 PM","Citizen Web Intake App","Closed","1400 8TH AVE W, SEATTLE, WA 98119","1262201.50128382","234018.998429229","47.63121873","-122.36735492","POINT (-122.36735492 47.63121873)","98119","7","WEST",
"24-00111049","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","05/05/2024 09:35:40 AM","Find It Fix It Apps","Closed","6732 24TH AVE NW, SEATTLE, WA 98117","1257662.82240322","251474.232558938","47.67881277","-122.3871879","POINT (-122.3871879 47.67881277)","98117","6","NORTH",
"24-00113028","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","05/07/2024 10:41:13 AM","Citizen Web Intake App","Closed","9053 1ST AVE NW, SEATTLE, WA 98117","1264883.21695172","257554.804061778","47.69587516","-122.35837234","POINT (-122.35837234 47.69587516)","98117","5","NORTH",
"24-00114400","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","05/08/2024 12:47:10 PM","Find It Fix It Apps","Closed","5307 GREEN LAKE WAY N, SEATTLE, WA 98103","1269045.5811047","247111.063870215","47.66747418","-122.34064276","POINT (-122.34064276 47.66747418)","98103","6","NORTH",
"24-00114405","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","05/08/2024 12:50:11 PM","Find It Fix It Apps","Closed","857 JOHN ST, SEATTLE, WA 98109","1268734.10440072","229662.133719168","47.61963061","-122.3405198","POINT (-122.3405198 47.61963061)","98109","7","WEST",
"24-00115941","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","05/09/2024 08:56:53 PM","Citizen Web Intake App","Closed","7110 MILITARY RD S, SEATTLE, WA 98108","1278598.68925666","199951.970316646","47.53871784","-122.29823532","POINT (-122.29823532 47.53871784)","98108","2","SOUTH",
"24-00115983","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","05/10/2024 04:56:30 AM","Find It Fix It Apps","Closed","14101 AURORA AVE N, SEATTLE, WA 98133","1267994.87415269","270353.663025177","47.73112452","-122.34676121","POINT (-122.34676121 47.73112452)","98133","5","NORTH",
"24-00123206","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","05/17/2024 08:46:13 AM","Citizen Web Intake App","Closed","1020 NE 82ND ST, SEATTLE, WA 98115","1275090.57061039","254983.196224447","47.68937342","-122.31672947","POINT (-122.31672947 47.68937342)","98115","5","NORTH",
"24-00116978","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","05/10/2024 09:42:15 PM","Citizen Web Intake App","Closed","650 WASHINGTON AVE, SEATTLE, WA 98199","1251134.16273113","243897.378195281","47.65768087","-122.4130534","POINT (-122.4130534 47.65768087)","98199","6","WEST",
"24-00126049","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","05/20/2024 03:10:26 PM","Find It Fix It Apps","Closed","750 N 138TH ST, SEATTLE, WA 98133","1267590.85301156","269831.922328466","47.72967266","-122.3483609","POINT (-122.3483609 47.72967266)","98133","5","NORTH",
"24-00126172","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","05/20/2024 04:22:02 PM","Citizen Web Intake App","Closed","2150 S NORMAN ST, SEATTLE, WA 98144","1277585.7498012","219858.047483876","47.59322729","-122.30387531","POINT (-122.30387531 47.59322729)","98144","3","EAST",
"24-00111446","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","05/05/2024 06:37:46 PM","Citizen Web Intake App","Closed","2517 FRANKLIN AVE E, SEATTLE, WA 98102","1272630.99925365","237906.296661513","47.64243576","-122.32536979","POINT (-122.32536979 47.64243576)","98102","3","WEST",
"24-00120805","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","05/15/2024 08:46:29 AM","Find It Fix It Apps","Closed","2517 FRANKLIN AVE E, SEATTLE, WA 98102","1272630.99925365","237906.296661513","47.64243576","-122.32536979","POINT (-122.32536979 47.64243576)","98102","3","WEST",
"24-00121155","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","05/15/2024 12:07:57 PM","Citizen Web Intake App","Closed","1901 N NORTHLAKE WAY, SEATTLE, WA 98103","1270044.16435202","239199.086427175","47.64584128","-122.33596382","POINT (-122.33596382 47.64584128)","98103","4","NORTH",
"24-00117540","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","05/11/2024 09:43:10 PM","Citizen Web Intake App","Closed","3400 NE 60TH ST, SEATTLE, WA 98115","1281276.24037605","248610.542073754","47.67223012","-122.29112869","POINT (-122.29112869 47.67223012)","98115","4","NORTH",
"24-00117813","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","05/12/2024 01:52:32 PM","Find It Fix It Apps","Closed","2913 ALKI AVE SW, SEATTLE, WA 98116","1250342.27730075","214947.654292817","47.57828768","-122.41385357","POINT (-122.41385357 47.57828768)","98116","1","SOUTHWEST",
"24-00117820","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","05/12/2024 02:02:37 PM","Find It Fix It Apps","Closed","2917 ALKI AVE SW, SEATTLE, WA 98116","1250299.45459137","214931.465687238","47.57824089","-122.41402569","POINT (-122.41402569 47.57824089)","98116","1","SOUTHWEST",
