location_raw,lat,lng,match_quality,census_geoid
1828 Yale Avenue,47.617780728268,-122.330042225387,Exact,R
1866 41st Avenue E,47.635479540912,-122.279564915996,Exact,R
1901 1st Avenue N,47.636007963314,-122.355699701931,Exact,L
1901 1st Avenue W,47.636008107793,-122.358381484848,Exact,L
1912 Warren Avenue N,47.635862621676,-122.354317228835,Exact,R
1915 1st Avenue W,47.636103205105,-122.358380428188,Exact,L
1916 11th Avenue S,47.58565903817,-122.318059680965,Exact,L
1925 5th Avenue W,47.636197814072,-122.363742204521,Exact,L
1942 11th Avenue W,47.63676556683,-122.37152464815,Exact,R
2007 10th Avenue E,47.63733541366,-122.320167437358,Exact,L
201 Lakeside Avenue S,47.600987290255,-122.285671433859,Exact,R
2017 S Norman Street B,47.592997137083,-122.305925475036,Non_Exact,R
2021 NW 58th Street 31,47.670849953439,-122.382457474781,Non_Exact,L
2025 S Norman Street,47.5929964199,-122.305807500589,Exact,R
204115 68th Avenue W C-102,,,Nominatim_NoMatch,
2054 N 78th Street,47.685833669732,-122.33440018703,Exact,L
2059 E Crescent Drive,47.633143518987,-122.304777525658,Exact,R
2104 N 105th Street H201,47.705093069533,-122.333797217865,Non_Exact,L
211 Kirkland Avenue 328,,,Nominatim_NoMatch,
211 Lake Washington Boulevard,47.603054068607,-122.284753664425,Exact,L
211 N 103rd Street N219,47.703581158995,-122.356527977212,Non_Exact,R
2110 W Ruffner Street,47.652207682339,-122.383451182056,Exact,R
2111 12th Avenue E,47.637767032298,-122.317368372722,Exact,L
2123 1/2 E Union Street,47.612864428458,-122.304606936612,Non_Exact,R
214 16th Avenue E 202,47.619835666833,-122.311310506281,Non_Exact,R
214 Euclid Avenue,47.603318243601,-122.288470224992,Exact,R
2142 Montvale Place W,47.638526477239,-122.400910835961,Exact,R
2145 Ulrich Road,,,Nominatim_NoMatch,
2150 S Norman Street,47.5931446758,-122.303622311328,Exact,L
21602 55th Avenue W,47.5676518,-122.4028325,Nominatim,
2200 SW Barton Street 206,47.521086686772,-122.361180964466,Non_Exact,L
2211 NW 85th Street,47.690523089062,-122.384524610275,Exact,L
2228 14th Avenue W,47.639240910826,-122.374920078711,Exact,R
223 17th Avenue E,47.619887456667,-122.310156558497,Exact,L
229 Queen Anne Avenue N 310,47.620127523151,-122.356831340118,Non_Exact,L
2312 N 59th Street,47.671643718441,-122.330519570973,Exact,L
2333 42nd Avenue E,47.639649743977,-122.278507062914,Exact,L
2352 Yale Avenue E,47.641252061549,-122.32702706389,Exact,R
2400 S Massachusetts Street,47.588396307233,-122.301204181238,Exact,L
2401 E Howell Street,47.617587083715,-122.301098109647,Exact,R
2402 W Armour Street,47.644674683201,-122.387718476343,Exact,R
2409 E Aloha Street,47.626621769824,-122.300946555827,Exact,R
2410 S Washington Street,47.600925675969,-122.300920604553,Exact,L
2417 2nd Avenue W,47.639933915702,-122.359676469611,Exact,L
2430 SW Holden Street A,47.533758686515,-122.364929492096,Non_Exact,R
2442 NW Market Street 140,47.668729604978,-122.388187363256,Non_Exact,R
2450 NW 61st Street,47.673167665009,-122.388268734586,Exact,R
2506 32nd Avenue W 5,47.641326856825,-122.398233504654,Non_Exact,R
2516 3rd Avenue W,47.641967797287,-122.360831490674,Exact,R
2518 34th Avenue W,47.64157483626,-122.400899013028,Exact,R
2526 W McGraw Street,47.640066683624,-122.38938489143,Exact,R
2559 24th Avenue W,47.642575334689,-122.387729241332,Exact,L
2563 24th Avenue W,47.642673016694,-122.387728512338,Exact,L
2572 Gilman Drive W 214,47.642396374635,-122.375586214971,Non_Exact,R
2599 Crestmont Place W,47.643165094166,-122.408503125436,Exact,L
2632 Alki Avenue SW,47.580160143433,-122.407619812383,Exact,L
2641 NW 57th Street,47.670129090807,-122.390728152242,Exact,L
2644 NW 60th Street,47.672385682118,-122.391013852196,Exact,R
2700 W Galer Street,47.632371055764,-122.391966535993,Exact,R
2701 Dabob Road,,,Nominatim_NoMatch,
2711 S Lane Street,47.596668226331,-122.297303090069,Exact,R
2716 3rd Avenue N,47.644510094955,-122.351485176024,Exact,R
2750 NE 90th Street,47.693937282539,-122.298210352037,Exact,L
2800 1st Avenue W,47.645024673072,-122.358089080806,Exact,R
2800 Western Avenue 101,47.615772211159,-122.352419595339,Non_Exact,R
2801 Western Avenue 705,47.615685659028,-122.352531002977,Non_Exact,L
2801 Western Avenue 935,47.615685659028,-122.352531002977,Non_Exact,L
2804 NW 93rd Street,47.696838681065,-122.393011308724,Exact,R
2806 1st Avenue W,47.645069454716,-122.358087922649,Exact,R
2846 32nd Avenue S,47.577886252489,-122.291841684471,Exact,L
2848 NW 94th Street,47.697567681114,-122.393803276193,Exact,R
2912 Beacon Avenue S,47.577380673438,-122.310348705583,Exact,L
2921 16th Avenue S,47.577533670432,-122.312145641578,Exact,R
2966 36th Avenue S,47.577005215821,-122.287785368219,Exact,L
3000 California Avenue SW,47.577047141144,-122.386627440338,Exact,L
3002 Cascadia Avenue S,47.576786484236,-122.284346208158,Exact,L
3011 37th Avenue W,47.646956906493,-122.404762921444,Exact,L
3018 S Andover Street,47.568050876367,-122.293848877259,Exact,L
3023 Beacon Avenue S,47.576311174543,-122.309691692117,Exact,R
3025 NW 68th Street,47.677964177874,-122.396076953249,Exact,L
3036 16th Avenue W 220,47.647606840992,-122.377401776086,Non_Exact,R
3040 17TH Avenue W 319,47.647709694678,-122.378766935861,Non_Exact,R
3040 17th Avenue W 016,47.647709694678,-122.378766935861,Non_Exact,R
3040 17th Avenue W 403,47.647709694678,-122.378766935861,Non_Exact,R
306 Bellevue Avenue E,47.620951343215,-122.326496571793,Exact,R
310 Aloha Street 7,47.627230460098,-122.351143764209,Non_Exact,L
310 W Olympic Place,47.626784115236,-122.36082173891,Exact,R
3100 Lakewood Boulevard S,47.576419884651,-122.284044460259,Non_Exact,L
3114 24th Avenue S,47.575676811463,-122.301183590627,Exact,L
3114 37th Place S,47.576347836567,-122.286530717011,Exact,L
312 Howe Street,47.635764679703,-122.351623831992,Exact,L
3130 Alaskan Way,47.6114282,-122.3486999,Nominatim,
3150 NE 105th Street,47.70483966982,-122.294582198214,Exact,R
3213 W Wheeler Street 168,47.639979093239,-122.398555389924,Non_Exact,L
3213 W Wheeler Street 78,47.639979093239,-122.398555389924,Non_Exact,L
3216 21st Avenue S,47.574878271181,-122.305254436443,Exact,L
3221 Franklin Avenue E B,47.650032747103,-122.321147579382,Non_Exact,L
3233 E Spruce Street,47.603133083397,-122.291260952866,Exact,R
3240 W Viewmont Way W,47.649027350027,-122.40947954165,Exact,R
3241 57th Avenue SW,47.574709292848,-122.405540084997,Exact,R
3244 NE 104th Street,47.703974175812,-122.293568875669,Exact,L
326 24th Avenue E,47.621735241816,-122.301110309451,Exact,R
329 Decatur Street NW,,,Nominatim_NoMatch,
330 19th Avenue E,47.620992167281,-122.307260042062,Exact,R
3301 Lakewood Avenue S,47.573265509055,-122.282016889974,Exact,R
3301 W Government Way,47.659895726282,-122.399580973267,Exact,L
3312 39th Avenue W,47.649606061597,-122.406740033179,Exact,R
333 M L King Jr Way,,,Nominatim_NoMatch,
333 Pontius Avenue N,47.621208273031,-122.331793153768,Exact,L
340 NE 58th Street,47.670887697718,-122.324935590063,Exact,L
3426 34th Avenue W B,47.650727807381,-122.40083013974,Non_Exact,R
3429 45th Avenue SW,47.573553964582,-122.389507722832,Exact,R
3500 28th Avenue W,47.652000683377,-122.392799030862,Exact,R
3517 W Dravus Street,47.648574093232,-122.402569893745,Exact,L
3520 27th Place W 121,47.652336926535,-122.389992433172,Non_Exact,R
354 NE 59th Street,47.67159750426,-122.324745663739,Exact,L
3552 S Hudson Street,47.557104676872,-122.288074818855,Exact,L
3605 Magnolia Boulevard W,47.651985989332,-122.411799115953,Exact,L
3609 SW Juneau Street,47.550107526352,-122.377865647552,Exact,L
361 W Crockett Street,47.637702089317,-122.361758525749,Exact,L
3660 Phinney Avenue N 5,47.652658578144,-122.354389874717,Non_Exact,R
368 NE 89th Street,47.693205310192,-122.324768494018,Exact,L
3700 S Alaska Street,47.560777040575,-122.286919260806,Exact,L
3703 39th Avenue SW,47.571139039622,-122.381501495544,Exact,R
3800 35th Avenue W B,47.654106684299,-122.402190525422,Non_Exact,R
3800 SW Findlay Street,47.552069210711,-122.37999033774,Exact,R
3801 155th Place SE,47.741576955665,-122.287796287045,Non_Exact,R
3801 Discovery Park Boulevard,47.6576374,-122.4063471,Nominatim,
3801 Discovery Park Boulevard W,,,Nominatim_NoMatch,
3811 NE 41st Street,47.658327717734,-122.286384388313,Exact,R
3821 25th Avenue W,47.654610334085,-122.388772201282,Exact,R
3822 43rd Avenue NE,47.569271894842,-122.279458587125,Non_Exact,L
3827 42nd Avenue S,47.568961414044,-122.28082984257,Exact,R
3828 Bagley Avenue N,47.653485778829,-122.332574527781,Exact,R
3848 25th Avenue W,47.655044091724,-122.388668025236,Exact,L
3926 42nd Avenue S,47.568069601177,-122.280666577379,Exact,L
4005 27th Avenue W,47.656712680907,-122.391164647391,Exact,L
4020 Fremont Avenue N,47.655290639743,-122.349840173435,Exact,R
4021 48th Avenue S,47.567365562426,-122.273347946267,Exact,R
4024 NE 125th Street,47.491234517592,-122.283411778736,Non_Exact,L
4027 43rd Avenue S,47.567369814572,-122.279612075139,Exact,R
4035 Whitman Avenue N A,47.655845340161,-122.346044403976,Non_Exact,L
407 34th Avenue,47.605972051389,-122.289544372467,Exact,L
407 NE 45th Street 5,47.661297826709,-122.323886687013,Non_Exact,R
4105 SW Morgan Street,47.544779089059,-122.384588556649,Exact,L
4111 26th Avenue SW,47.566476578727,-122.365542239758,Exact,R
4120 48th Avenue S,47.566187152673,-122.273169115075,Exact,L
4125 38th Avenue S,47.565959293083,-122.285081821172,Exact,R
4126 49th Avenue S,47.566121984573,-122.271913117827,Exact,L
413 NE 70th Street 327,47.679002510423,-122.324610860892,Non_Exact,R
4141 SW Monroe Street,47.53140504485,-122.385277156674,Exact,L
418 N 63rd Street,47.674653677934,-122.354035018199,Exact,L
419 SW 121st Court,47.494748218665,-122.341515492446,Non_Exact,L
4208 Beach Drive SW #201,47.565757714528,-122.407919329147,Exact,L
4211 46th Avenue S,47.565162031271,-122.275846690405,Exact,R
4219 Wallingford Avenue N,47.658233971586,-122.336306757503,Exact,L
422 N 60th Street,47.672519120789,-122.353998801368,Exact,L
4235 S Bateman Street,47.546685085177,-122.28031785161,Exact,R
429 20th Avenue E B,47.62302488554,-122.306100111258,Non_Exact,L
43 Etruria Street 5,47.647715197287,-122.35631044192,Non_Exact,R
4309 238th Place SW,,,Nominatim_NoMatch,
4311 S Ferdinand Street,47.558134492202,-122.279274496634,Exact,R
4312 Evanston Avenue N B,47.659151794568,-122.350930319141,Non_Exact,R
4312 NE 85th Street,47.690232669231,-122.282274475135,Exact,L
4316 S Genesee Street,47.564143658986,-122.279229936817,Exact,L
4401 SW Findlay Street,47.552077279389,-122.388605719877,Exact,L
4417 39th Avenue SW,47.564342459029,-122.381634413025,Exact,R
4420 46th Avenue S,47.563815323778,-122.275666540725,Exact,L
4433 47th Avenue S,47.562866823061,-122.274573648199,Exact,R
4508 S Brandon Street,47.553441675783,-122.276358420152,Exact,L
4527 55th Avenue NE B,47.661520068824,-122.268903914181,Non_Exact,L
4544 NE 41st Street,47.658470141149,-122.278926079055,Exact,L
4559 51st Avenue NE,47.6623358117,-122.27257212629,Exact,L
4621 48th Avenue S,47.561479562699,-122.273307438138,Exact,R
4713 NE 47th Street,47.663028078691,-122.277080873027,Exact,R
4727 S Findlay Street,47.551848457965,-122.273703869476,Exact,R
4742 47th Avenue SW,47.560366577728,-122.392102008876,Exact,L
4746 18th Avenue NE,47.663384256427,-122.308266266036,Exact,R
4746 47th Avenue NE,47.663404510559,-122.277245909046,Exact,R
4750 39th Avenue S,47.559853093549,-122.283388430717,Exact,L
4809 238th Street SW,,,Nominatim_NoMatch,
4816 12th Avenue S,47.559899660918,-122.317053260212,Exact,L
4820 S Garden Street,47.537692614166,-122.272414505789,Exact,L
4825 45th Avenue S,47.559263188171,-122.277058030925,Exact,R
4835 Delridge Way SW,47.558922616741,-122.36298534557,Exact,R
4841 S Kenny Street,47.549043084057,-122.27122460121,Exact,R
500 13th Avenue E 308,47.623164069869,-122.315618706613,Non_Exact,R
5011 Meridian Avenue N,47.665158608755,-122.333802426719,Exact,L
5018 Lake Washington Boulevard S,47.556889123646,-122.262348642997,Exact,L
5019 2nd Avenue NW,47.665664407495,-122.358820106905,Exact,L
5019 Harold Place NE,47.665076408137,-122.27118519211,Exact,L
5024 25th Avenue SW,47.557163594809,-122.364174027691,Exact,L
503 12th Avenue E,47.623195269496,-122.316841375143,Exact,L
5032 44th Avenue S,47.556698048482,-122.278482874171,Exact,L
510 E Thomas Street #203,47.620889067595,-122.325105468882,Exact,L
5100 NE 93rd Street,47.6964131,-122.2733267,Nominatim,
5102 S Adams Street,47.565349336379,-122.269373290993,Exact,L
5105 46th Avenue SW,47.556308384785,-122.391246800216,Exact,R
515 Lake Washington Boulevard,47.606394148092,-122.283610112763,Exact,L
518 W Crockett Street,47.637816680947,-122.363934195428,Exact,R
519 W Roy Street 113,47.625804090122,-122.363421788631,Non_Exact,L
5200 Fauntleroy Way SW 6,47.555566765299,-122.381443233463,Non_Exact,R
5237 37th Avenue SW,47.554598082516,-122.379026088892,Exact,R
5240 University Way NE 610,47.666753681889,-122.312963464335,Non_Exact,R
5253 37th Avenue SW,47.554409012565,-122.379029778106,Exact,R
5253 S Fontanelle Place,47.53541326815,-122.265756457842,Exact,R
5260 18th Avenue SW,47.555106660823,-122.356971370117,Exact,L
5316 SW Lander Street,47.579132789608,-122.400895715088,Exact,R
5322 Gross Street,,,Nominatim_NoMatch,
5331 S 236th Street,,,Nominatim_NoMatch,
5408 Meridian Avenue N 203,47.668050688608,-122.333602701703,Non_Exact,R
5418 Fauntleroy Way SW C,47.552848232116,-122.381538422422,Non_Exact,R
5424 SW Angeline Street,47.560355709517,-122.402697416414,Exact,R
5433 42nd Avenue W,47.668850632055,-122.41020416075,Exact,L
5462 Couch Lane,,,Nominatim_NoMatch,
547 N 74th Street,47.682497329114,-122.351907785489,Exact,R
549 NE 79th Street,47.685985441528,-122.322452193755,Exact,R
5505 27th Avenue NE 5,47.668605756366,-122.298595697028,Non_Exact,L
5511 17th Avenue S,47.553302863375,-122.311173559865,Exact,R
5520 Ravenna Avenue NE,47.668611290336,-122.303817628554,Exact,R
5525 S Morgan Street,47.544201083471,-122.263529560852,Exact,R
5551 SW Admiral Way,47.577407737818,-122.403005236879,Exact,L
5571 17th Avenue S,47.552885599564,-122.311176994234,Exact,R
561 3rd Lane,47.602461138881,-122.331229383893,Non_Exact,L
5652 41st Avenue SW,47.551716281143,-122.384205771756,Exact,L
567 Highland Drive,47.629697892228,-122.345768645807,Exact,R
5721 46th Avenue S,47.550975254673,-122.275470641786,Exact,R
5801 S Pilgrim Street,47.515148558616,-122.260734092854,Exact,R
5817 SW Lander Street,47.579395765007,-122.406840523116,Exact,L
5834 6th Avenue NW,47.671176246367,-122.363926111351,Exact,R
5900 Lake Washington Boulevard S,47.5519457,-122.2553282,Nominatim,
5936 41st Avenue SW,47.549580605192,-122.384267835962,Exact,L
5963 SW Carroll Street,47.567462875922,-122.40910788574,Exact,L
6016 35th Avenue NE,47.672345245919,-122.29015191924,Exact,R
6016 41st Avenue NE,47.672343700395,-122.283441942614,Exact,R
6020 28th Avenue NW,47.672494808768,-122.392890147472,Exact,R
6024 Upland Terrace S,47.548888813429,-122.265704110613,Exact,L
608 22nd Avenue,47.607284440072,-122.30369850419,Exact,R
6110 28th Avenue NW,47.67309729541,-122.392893491491,Exact,R
6173 NE Redford Drive 1623,47.673797061073,-122.261477062732,Non_Exact,L
621 W Galer Street 208,47.632275089979,-122.365203344975,Non_Exact,L
6229 Wilson Avenue S,47.546589210085,-122.263689316619,Exact,R
6252 31st Avenue NE,47.674330005907,-122.294231883074,Exact,R
631 NW 85th Street,47.690587651209,-122.36378764956,Exact,L
6327 Wilson Avenue S,47.545630655513,-122.263914026901,Exact,R
6334 Seward Park Avenue S,47.546136497395,-122.262168397189,Exact,L
6375 Radford Drive 4023,47.674473779152,-122.260596292291,Non_Exact,L
6413 9th Avenue NW,47.675709245788,-122.368823266019,Exact,L
6425 SW Admiral Way,47.575901441541,-122.414846703353,Exact,L
6516 7th Avenue NW,47.676183321598,-122.364439505575,Exact,R
6535 Ravenna Avenue NE,47.676032461881,-122.303905545351,Exact,L
6536 3rd Avenue NW,47.676322193131,-122.360410821338,Exact,R
6540 Holly Terrace S,47.542850496507,-122.262591073807,Exact,L
6545 Holly Terrace S,47.542829035128,-122.26276112712,Exact,R
655 W Crockett Street,47.63770208975,-122.365705335125,Exact,L
6550 Holly Terrace S,47.542794229839,-122.262591834181,Exact,L
6553 42nd Avenue SW 3,47.544336850601,-122.38584723464,Non_Exact,R
6612 57th Avenue S,47.543015105812,-122.261724091172,Exact,L
6625 NE Windermere Street,47.672775023066,-122.255381365601,Non_Exact,R
6732 13th Avenue NW,47.678040032156,-122.372914086134,Exact,R
6742 21st Avenue NW,47.678299965259,-122.383136895558,Exact,R
6743 Cleopatra Place NW,47.678066331818,-122.365615905047,Exact,L
6813 27th Avenue NE,47.677752946817,-122.298540652823,Exact,L
6900 57th Avenue NE,47.678464247519,-122.266952980833,Exact,R
6900 E Green Lake Way N,47.678543102093,-122.326718869339,Exact,R
6913 Carleton Avenue S,47.541032567531,-122.322279019972,Exact,R
6915 51st Avenue S,47.540541820026,-122.270007383685,Exact,R
6920 34th Avenue SW,47.540288679327,-122.37513080596,Exact,L
7002 23rd Avenue NW,47.679579244584,-122.385284322597,Exact,R
7020 16th Avenue NE,47.679583154788,-122.310852903413,Exact,R
7020 18th Avenue SW F-13,47.539890932864,-122.35716246855,Non_Exact,R
7028 43rd Avenue NE,47.679653693291,-122.282780855867,Exact,R
7028 9th Avenue NW,47.679770587932,-122.368243016829,Exact,R
7047 50th Avenue NE,47.679772989861,-122.274394428832,Exact,L
7120 Woodlawn Avenue NE N207,47.679984820683,-122.324494462538,Non_Exact,R
7133 34th Avenue SW,47.538876797627,-122.375324487372,Exact,R
714 SW Austin Street,47.534870332511,-122.345559099043,Exact,R
7148 31st Avenue SW,47.538728061635,-122.372476080838,Exact,L
7157 32nd Avenue SW,47.538667683032,-122.373986653496,Exact,R
7201 E Green Lake Drive N,47.681136904248,-122.326800386407,Exact,L
7201 Green Lake Park,,,Nominatim_NoMatch,
7215 SE 32nd Street,,,Nominatim_NoMatch,
723 N 62nd Street,47.673810086091,-122.349570894609,Exact,R
7241 28th Avenue NE,47.681882717978,-122.297554889935,Exact,L
725 N 95th Street C,47.697766779315,-122.349608285267,Non_Exact,R
73 Dean Road,,,Nominatim_NoMatch,
7309 Sand Point Way 832,47.681472501122,-122.263744436969,Non_Exact,L
7341 24th Avenue NE,47.68162973893,-122.301882110957,Exact,L
7400 Sand Point Way NE,47.684826855058,-122.264410177733,Exact,R
7400 Sandpoint Way NE,47.684826855058,-122.264410177733,Exact,R
7502 17th Avenue NW,47.683284072199,-122.378844658439,Exact,R
7531 34th Avenue NW,47.683519951688,-122.400499675837,Exact,L
7538 Brooklyn Avenue NE,47.683457627009,-122.314146604375,Exact,R
77 S Washington Street,47.600822593589,-122.334556573945,Exact,R
7709 15th Avenue SW,47.533557922328,-122.354004420511,Exact,R
7712 40th Avenue NE,47.684974618719,-122.285180944112,Exact,R
7769 12th Avenue SW,47.533290789503,-122.35064296969,Exact,R
7861 62nd Avenue NE,47.6773375,-122.2618485,Nominatim,
7901 Delridge Way SW 10E,47.531817287523,-122.360528764127,Non_Exact,R
7901 Delridge Way SW 40H,47.531817287523,-122.360528764127,Non_Exact,R
7910 29th Avenue NW,47.686196285499,-122.394299196946,Exact,R
7911 15th Avenue SW,47.531733077152,-122.35401769481,Exact,R
